Application,Name,Value,Description,Role division
App0,AppName 0,Access5,AccessDescription5,RoleDivision2
App0,AppName 0,Access6,AccessDescription6,RoleDivision2
App0,AppName 0,Access7,AccessDescription7,RoleDivision2
App0,AppName 0,Access8,AccessDescription8,RoleDivision2
App0,AppName 0,Access9,AccessDescription9,RoleDivision2
App0,AppName 0,Access10,AccessDescription10,RoleDivision2
App0,AppName 0,Access11,AccessDescription11,RoleDivision2
App0,AppName 0,Access12,AccessDescription12,RoleDivision2
App0,AppName 0,Access13,AccessDescription13,RoleDivision2
App0,AppName 0,Access14,AccessDescription14,RoleDivision2
App0,AppName 0,Access15,AccessDescription15,RoleDivision2
App0,AppName 0,Access16,AccessDescription16,RoleDivision2
App0,AppName 0,Access17,AccessDescription17,RoleDivision2
App0,AppName 0,Access18,AccessDescription18,RoleDivision2
App0,AppName 0,Access19,AccessDescription19,RoleDivision2
App0,AppName 0,Access20,AccessDescription20,RoleDivision2
App0,AppName 0,Access21,AccessDescription21,RoleDivision2
App0,AppName 0,Access22,AccessDescription22,RoleDivision2
App0,AppName 0,Access23,AccessDescription23,RoleDivision2
App0,AppName 0,Access24,AccessDescription24,RoleDivision2
App0,AppName 0,Access25,AccessDescription25,RoleDivision2
App0,AppName 0,Access27,AccessDescription27,RoleDivision2
App0,AppName 0,Access28,AccessDescription28,RoleDivision2
App0,AppName 0,Access29,AccessDescription29,RoleDivision2
App0,AppName 0,Access30,AccessDescription30,RoleDivision2
App0,AppName 0,Access31,AccessDescription31,RoleDivision2
App0,AppName 0,Access32,AccessDescription32,RoleDivision2
App0,AppName 0,Access33,AccessDescription33,RoleDivision2
App0,AppName 0,Access34,AccessDescription34,RoleDivision2
App0,AppName 0,Access35,AccessDescription35,RoleDivision2
App0,AppName 0,Access36,AccessDescription36,RoleDivision2
App0,AppName 0,Access37,AccessDescription37,RoleDivision2
App0,AppName 0,Access38,AccessDescription38,RoleDivision2
App0,AppName 0,Access39,AccessDescription39,RoleDivision2
App0,AppName 0,Access40,AccessDescription40,RoleDivision2
App0,AppName 0,Access42,AccessDescription42,RoleDivision2
App0,AppName 0,Access43,,RoleDivision2
App0,AppName 0,Access44,AccessDescription43,RoleDivision2
App0,AppName 0,Access45,AccessDescription44,RoleDivision2
App0,AppName 0,Access46,AccessDescription45,RoleDivision2
App0,AppName 0,Access47,AccessDescription46,RoleDivision2
App0,AppName 0,Access48,AccessDescription47,RoleDivision2
App0,AppName 0,Access49,AccessDescription48,RoleDivision2
App0,AppName 0,Access52,AccessDescription49,RoleDivision2
App0,AppName 0,Access54,AccessDescription50,RoleDivision2
App0,AppName 0,Access55,AccessDescription51,RoleDivision2
App0,AppName 0,Access57,AccessDescription53,RoleDivision2
App0,AppName 0,Access58,AccessDescription54,RoleDivision2
App0,AppName 0,Access59,AccessDescription41,RoleDivision2
App0,AppName 0,Access60,AccessDescription55,RoleDivision2
App0,AppName 0,Access62,AccessDescription57,RoleDivision2
App0,AppName 0,Access63,AccessDescription58,RoleDivision2
App0,AppName 0,Access64,AccessDescription59,RoleDivision2
App0,AppName 0,Access65,AccessDescription60,RoleDivision2
App0,AppName 0,Access66,,RoleDivision2
App0,AppName 0,Access67,AccessDescription61,RoleDivision2
App0,AppName 0,Access68,AccessDescription62,RoleDivision2
App0,AppName 0,Access69,AccessDescription63,RoleDivision2
App0,AppName 0,Access71,AccessDescription64,RoleDivision2
App0,AppName 0,Access75,,RoleDivision2
App0,AppName 0,Access82,,RoleDivision2
App0,AppName 0,Access88,,RoleDivision2
App0,AppName 0,Access98,AccessDescription80,RoleDivision2
App0,AppName 0,Access99,AccessDescription26,RoleDivision2
App0,AppName 0,Access129,,RoleDivision2
App0,AppName 0,Access130,AccessDescription102,RoleDivision2
App0,AppName 0,Access152,AccessDescription119,RoleDivision2
App0,AppName 0,Access168,AccessDescription129,RoleDivision2
App2,AppName 3,Access1068,,RoleDivision2
App3,AppName 4,Access1129,,RoleDivision2
App3,AppName 4,Access1130,,RoleDivision2
App3,AppName 5,Access1131,,RoleDivision2
App3,AppName 5,Access1132,,RoleDivision2
App3,AppName 5,Access1133,,RoleDivision2
App3,AppName 5,Access1134,,RoleDivision2
App3,AppName 5,Access1135,,RoleDivision2
App3,AppName 5,Access1136,,RoleDivision2
App3,AppName 5,Access1137,,RoleDivision2
App3,AppName 5,Access1138,,RoleDivision2
App3,AppName 5,Access1139,,RoleDivision2
App3,AppName 5,Access1140,,RoleDivision2
App3,AppName 5,Access1141,,RoleDivision2
App3,AppName 5,Access1142,,RoleDivision2
App3,AppName 5,Access1143,,RoleDivision2
App3,AppName 5,Access1144,,RoleDivision2
App3,AppName 5,Access1145,,RoleDivision2
App3,AppName 5,Access1146,,RoleDivision2
App3,AppName 5,Access1147,,RoleDivision2
App3,AppName 5,Access1148,,RoleDivision2
App3,AppName 5,Access1149,,RoleDivision2
App3,AppName 5,Access1150,,RoleDivision2
App3,AppName 5,Access1151,,RoleDivision2
App3,AppName 5,Access1152,,RoleDivision2
App3,AppName 5,Access1153,,RoleDivision2
App3,AppName 5,Access1154,,RoleDivision2
App7,AppName 9,Access1212,,RoleDivision2
App7,AppName 10,Access1213,,RoleDivision2
App9,AppName 11,Access1214,,RoleDivision2
App0,AppName 0,Access0,AccessDescription0,RoleDivision3
App0,AppName 0,Access1,AccessDescription1,RoleDivision3
App0,AppName 0,Access2,AccessDescription2,RoleDivision3
App0,AppName 0,Access3,,RoleDivision3
App0,AppName 0,Access4,AccessDescription4,RoleDivision3
App0,AppName 0,Access5,AccessDescription5,RoleDivision3
App0,AppName 0,Access6,AccessDescription6,RoleDivision3
App0,AppName 0,Access7,AccessDescription7,RoleDivision3
App0,AppName 0,Access8,AccessDescription8,RoleDivision3
App0,AppName 0,Access9,AccessDescription9,RoleDivision3
App0,AppName 0,Access10,AccessDescription10,RoleDivision3
App0,AppName 0,Access11,AccessDescription11,RoleDivision3
App0,AppName 0,Access12,AccessDescription12,RoleDivision3
App0,AppName 0,Access13,AccessDescription13,RoleDivision3
App0,AppName 0,Access14,AccessDescription14,RoleDivision3
App0,AppName 0,Access15,AccessDescription15,RoleDivision3
App0,AppName 0,Access16,AccessDescription16,RoleDivision3
App0,AppName 0,Access17,AccessDescription17,RoleDivision3
App0,AppName 0,Access18,AccessDescription18,RoleDivision3
App0,AppName 0,Access19,AccessDescription19,RoleDivision3
App0,AppName 0,Access20,AccessDescription20,RoleDivision3
App0,AppName 0,Access21,AccessDescription21,RoleDivision3
App0,AppName 0,Access22,AccessDescription22,RoleDivision3
App0,AppName 0,Access23,AccessDescription23,RoleDivision3
App0,AppName 0,Access24,AccessDescription24,RoleDivision3
App0,AppName 0,Access25,AccessDescription25,RoleDivision3
App0,AppName 0,Access26,AccessDescription26,RoleDivision3
App0,AppName 0,Access27,AccessDescription27,RoleDivision3
App0,AppName 0,Access28,AccessDescription28,RoleDivision3
App0,AppName 0,Access29,AccessDescription29,RoleDivision3
App0,AppName 0,Access30,AccessDescription30,RoleDivision3
App0,AppName 0,Access31,AccessDescription31,RoleDivision3
App0,AppName 0,Access32,AccessDescription32,RoleDivision3
App0,AppName 0,Access33,AccessDescription33,RoleDivision3
App0,AppName 0,Access34,AccessDescription34,RoleDivision3
App0,AppName 0,Access35,AccessDescription35,RoleDivision3
App0,AppName 0,Access36,AccessDescription36,RoleDivision3
App0,AppName 0,Access37,AccessDescription37,RoleDivision3
App0,AppName 0,Access38,AccessDescription38,RoleDivision3
App0,AppName 0,Access39,AccessDescription39,RoleDivision3
App0,AppName 0,Access40,AccessDescription40,RoleDivision3
App0,AppName 0,Access42,AccessDescription42,RoleDivision3
App0,AppName 0,Access43,,RoleDivision3
App0,AppName 0,Access44,AccessDescription43,RoleDivision3
App0,AppName 0,Access45,AccessDescription44,RoleDivision3
App0,AppName 0,Access46,AccessDescription45,RoleDivision3
App0,AppName 0,Access47,AccessDescription46,RoleDivision3
App0,AppName 0,Access48,AccessDescription47,RoleDivision3
App0,AppName 0,Access49,AccessDescription48,RoleDivision3
App0,AppName 0,Access50,,RoleDivision3
App0,AppName 0,Access51,,RoleDivision3
App0,AppName 0,Access52,AccessDescription49,RoleDivision3
App0,AppName 0,Access54,AccessDescription50,RoleDivision3
App0,AppName 0,Access55,AccessDescription51,RoleDivision3
App0,AppName 0,Access57,AccessDescription53,RoleDivision3
App0,AppName 0,Access58,AccessDescription54,RoleDivision3
App0,AppName 0,Access59,AccessDescription41,RoleDivision3
App0,AppName 0,Access60,AccessDescription55,RoleDivision3
App0,AppName 0,Access61,AccessDescription56,RoleDivision3
App0,AppName 0,Access62,AccessDescription57,RoleDivision3
App0,AppName 0,Access63,AccessDescription58,RoleDivision3
App0,AppName 0,Access64,AccessDescription59,RoleDivision3
App0,AppName 0,Access65,AccessDescription60,RoleDivision3
App0,AppName 0,Access66,,RoleDivision3
App0,AppName 0,Access67,AccessDescription61,RoleDivision3
App0,AppName 0,Access68,AccessDescription62,RoleDivision3
App0,AppName 0,Access69,AccessDescription63,RoleDivision3
App0,AppName 0,Access70,,RoleDivision3
App0,AppName 0,Access71,AccessDescription64,RoleDivision3
App0,AppName 0,Access78,,RoleDivision3
App0,AppName 0,Access83,AccessDescription72,RoleDivision3
App0,AppName 0,Access85,,RoleDivision3
App0,AppName 0,Access87,AccessDescription74,RoleDivision3
App0,AppName 0,Access97,,RoleDivision3
App0,AppName 0,Access98,AccessDescription80,RoleDivision3
App0,AppName 0,Access103,,RoleDivision3
App0,AppName 0,Access142,,RoleDivision3
App0,AppName 0,Access147,AccessDescription115,RoleDivision3
App0,AppName 0,Access157,AccessDescription121,RoleDivision3
App0,AppName 0,Access170,,RoleDivision3
App0,AppName 0,Access171,AccessDescription130,RoleDivision3
App0,AppName 0,Access172,AccessDescription131,RoleDivision3
App0,AppName 0,Access184,AccessDescription137,RoleDivision3
App0,AppName 0,Access210,,RoleDivision3
App0,AppName 0,Access405,,RoleDivision3
App0,AppName 0,Access471,AccessDescription301,RoleDivision3
App0,AppName 0,Access885,AccessDescription500,RoleDivision3
App2,AppName 3,Access1051,,RoleDivision3
App2,AppName 3,Access1052,,RoleDivision3
App2,AppName 3,Access1053,,RoleDivision3
App2,AppName 3,Access1054,,RoleDivision3
App2,AppName 3,Access1056,,RoleDivision3
App2,AppName 3,Access1057,,RoleDivision3
App2,AppName 3,Access1061,,RoleDivision3
App3,AppName 4,Access1129,,RoleDivision3
App3,AppName 4,Access1130,,RoleDivision3
App3,AppName 5,Access1131,,RoleDivision3
App3,AppName 5,Access1132,,RoleDivision3
App3,AppName 5,Access1133,,RoleDivision3
App3,AppName 5,Access1134,,RoleDivision3
App3,AppName 5,Access1135,,RoleDivision3
App3,AppName 5,Access1136,,RoleDivision3
App3,AppName 5,Access1137,,RoleDivision3
App3,AppName 5,Access1138,,RoleDivision3
App3,AppName 5,Access1139,,RoleDivision3
App3,AppName 5,Access1140,,RoleDivision3
App3,AppName 5,Access1141,,RoleDivision3
App3,AppName 5,Access1142,,RoleDivision3
App3,AppName 5,Access1143,,RoleDivision3
App3,AppName 5,Access1144,,RoleDivision3
App3,AppName 5,Access1145,,RoleDivision3
App3,AppName 5,Access1146,,RoleDivision3
App3,AppName 5,Access1147,,RoleDivision3
App3,AppName 5,Access1148,,RoleDivision3
App3,AppName 5,Access1149,,RoleDivision3
App3,AppName 5,Access1150,,RoleDivision3
App3,AppName 5,Access1151,,RoleDivision3
App3,AppName 5,Access1152,,RoleDivision3
App3,AppName 5,Access1153,,RoleDivision3
App3,AppName 5,Access1154,,RoleDivision3
App7,AppName 9,Access1212,,RoleDivision3
App0,AppName 0,Access3,,RoleDivision10
App0,AppName 0,Access137,AccessDescription107,RoleDivision10
App0,AppName 0,Access5,AccessDescription5,RoleDivision10
App0,AppName 0,Access6,AccessDescription6,RoleDivision10
App0,AppName 0,Access7,AccessDescription7,RoleDivision10
App0,AppName 0,Access8,AccessDescription8,RoleDivision10
App0,AppName 0,Access9,AccessDescription9,RoleDivision10
App0,AppName 0,Access10,AccessDescription10,RoleDivision10
App0,AppName 0,Access11,AccessDescription11,RoleDivision10
App0,AppName 0,Access12,AccessDescription12,RoleDivision10
App0,AppName 0,Access0,AccessDescription0,RoleDivision10
App0,AppName 0,Access13,AccessDescription13,RoleDivision10
App0,AppName 0,Access14,AccessDescription14,RoleDivision10
App0,AppName 0,Access15,AccessDescription15,RoleDivision10
App0,AppName 0,Access16,AccessDescription16,RoleDivision10
App0,AppName 0,Access17,AccessDescription17,RoleDivision10
App0,AppName 0,Access18,AccessDescription18,RoleDivision10
App0,AppName 0,Access1226,AccessDescription41,RoleDivision10
App0,AppName 0,Access19,AccessDescription19,RoleDivision10
App0,AppName 0,Access21,AccessDescription21,RoleDivision10
App0,AppName 0,Access22,AccessDescription22,RoleDivision10
App0,AppName 0,Access437,AccessDescription288,RoleDivision10
App0,AppName 0,Access23,AccessDescription23,RoleDivision10
App0,AppName 0,Access24,AccessDescription24,RoleDivision10
App0,AppName 0,Access1,AccessDescription1,RoleDivision10
App0,AppName 0,Access68,AccessDescription62,RoleDivision10
App0,AppName 0,Access69,AccessDescription63,RoleDivision10
App0,AppName 0,Access1436,AccessDescription756,RoleDivision10
App0,AppName 0,Access67,AccessDescription61,RoleDivision10
App0,AppName 0,Access28,AccessDescription28,RoleDivision10
App0,AppName 0,Access29,AccessDescription29,RoleDivision10
App0,AppName 0,Access30,AccessDescription30,RoleDivision10
App0,AppName 0,Access40,AccessDescription40,RoleDivision10
App0,AppName 0,Access49,AccessDescription48,RoleDivision10
App0,AppName 0,Access2,AccessDescription2,RoleDivision10
App0,AppName 0,Access1215,AccessDescription650,RoleDivision10
App0,AppName 0,Access39,AccessDescription39,RoleDivision10
App0,AppName 0,Access1220,AccessDescription655,RoleDivision10
App0,AppName 0,Access1221,AccessDescription656,RoleDivision10
App0,AppName 0,Access1223,AccessDescription658,RoleDivision10
App0,AppName 0,Access1224,AccessDescription659,RoleDivision10
App0,AppName 0,Access1216,AccessDescription651,RoleDivision10
App0,AppName 0,Access1217,AccessDescription652,RoleDivision10
App0,AppName 0,Access1218,AccessDescription653,RoleDivision10
App0,AppName 0,Access1219,AccessDescription654,RoleDivision10
App0,AppName 0,Access1222,AccessDescription657,RoleDivision10
App0,AppName 0,Access34,AccessDescription34,RoleDivision10
App0,AppName 0,Access1225,AccessDescription660,RoleDivision10
App0,AppName 0,Access44,AccessDescription43,RoleDivision10
App0,AppName 0,Access72,AccessDescription65,RoleDivision10
App0,AppName 0,Access52,AccessDescription49,RoleDivision10
App0,AppName 0,Access55,AccessDescription51,RoleDivision10
App0,AppName 0,Access42,AccessDescription42,RoleDivision10
App0,AppName 0,Access46,AccessDescription45,RoleDivision10
App0,AppName 0,Access31,AccessDescription31,RoleDivision10
App0,AppName 0,Access45,AccessDescription44,RoleDivision10
App0,AppName 0,Access27,AccessDescription27,RoleDivision10
App0,AppName 0,Access32,AccessDescription32,RoleDivision10
App0,AppName 0,Access47,AccessDescription46,RoleDivision10
App0,AppName 0,Access25,AccessDescription25,RoleDivision10
App0,AppName 0,Access54,AccessDescription50,RoleDivision10
App0,AppName 0,Access81,,RoleDivision10
App0,AppName 0,Access1233,,RoleDivision10
App0,AppName 0,Access70,,RoleDivision10
App0,AppName 0,Access73,AccessDescription66,RoleDivision10
App0,AppName 0,Access74,AccessDescription67,RoleDivision10
App0,AppName 0,Access80,AccessDescription71,RoleDivision10
App0,AppName 0,Access114,,RoleDivision10
App0,AppName 0,Access99,AccessDescription26,RoleDivision10
App0,AppName 0,Access890,AccessDescription504,RoleDivision10
App0,AppName 0,Access1409,,RoleDivision10
App0,AppName 0,Access1441,,RoleDivision10
App0,AppName 0,Access82,,RoleDivision10
App0,AppName 0,Access75,,RoleDivision10
App0,AppName 0,Access150,AccessDescription117,RoleDivision10
App0,AppName 0,Access160,AccessDescription124,RoleDivision10
App3,AppName 4,Access1129,,RoleDivision10
App3,AppName 4,Access1130,,RoleDivision10
App3,AppName 5,Access1131,,RoleDivision10
App3,AppName 5,Access1132,,RoleDivision10
App3,AppName 5,Access1133,,RoleDivision10
App3,AppName 5,Access1134,,RoleDivision10
App3,AppName 5,Access1135,,RoleDivision10
App3,AppName 5,Access1136,,RoleDivision10
App3,AppName 5,Access1137,,RoleDivision10
App3,AppName 5,Access1138,,RoleDivision10
App3,AppName 5,Access1139,,RoleDivision10
App3,AppName 5,Access1140,,RoleDivision10
App3,AppName 5,Access1141,,RoleDivision10
App3,AppName 5,Access1142,,RoleDivision10
App3,AppName 5,Access1143,,RoleDivision10
App3,AppName 5,Access1144,,RoleDivision10
App3,AppName 5,Access1145,,RoleDivision10
App3,AppName 5,Access1146,,RoleDivision10
App3,AppName 5,Access1147,,RoleDivision10
App3,AppName 5,Access1148,,RoleDivision10
App3,AppName 5,Access1149,,RoleDivision10
App3,AppName 5,Access1150,,RoleDivision10
App3,AppName 5,Access1151,,RoleDivision10
App3,AppName 5,Access1152,,RoleDivision10
App3,AppName 5,Access1153,,RoleDivision10
App3,AppName 5,Access1154,,RoleDivision10
App2,AppName 3,Access1051,,RoleDivision10
App2,AppName 3,Access1052,,RoleDivision10
App2,AppName 3,Access1053,,RoleDivision10
App2,AppName 3,Access1369,,RoleDivision10
App7,AppName 10,Access1388,,RoleDivision10
App7,AppName 9,Access1212,,RoleDivision10
App9,AppName 11,Access1214,,RoleDivision10
App2,AppName 3,Access1051,,RoleDivision6
App2,AppName 3,Access1052,,RoleDivision6
App2,AppName 3,Access1053,,RoleDivision6
App2,AppName 3,Access1365,,RoleDivision6
App2,AppName 3,Access1371,,RoleDivision6
