Application,Name,Value,Description,Identity
App0,AppName 0,Access24,AccessDescription24,User0001
App0,AppName 0,Access25,AccessDescription25,User0001
App0,AppName 0,Access27,AccessDescription27,User0001
App0,AppName 0,Access28,AccessDescription28,User0001
App0,AppName 0,Access29,AccessDescription29,User0001
App0,AppName 0,Access30,AccessDescription30,User0001
App0,AppName 0,Access31,AccessDescription31,User0001
App0,AppName 0,Access32,AccessDescription32,User0001
App0,AppName 0,Access33,AccessDescription33,User0001
App0,AppName 0,Access34,AccessDescription34,User0001
App0,AppName 0,Access35,AccessDescription35,User0001
App0,AppName 0,Access36,AccessDescription36,User0001
App0,AppName 0,Access37,AccessDescription37,User0001
App0,AppName 0,Access38,AccessDescription38,User0001
App0,AppName 0,Access39,AccessDescription39,User0001
App0,AppName 0,Access40,AccessDescription40,User0001
App0,AppName 0,Access42,AccessDescription42,User0001
App0,AppName 0,Access45,AccessDescription44,User0001
App0,AppName 0,Access46,AccessDescription45,User0001
App0,AppName 0,Access47,AccessDescription46,User0001
App0,AppName 0,Access49,AccessDescription48,User0001
App0,AppName 0,Access54,AccessDescription50,User0001
App0,AppName 0,Access55,AccessDescription51,User0001
App0,AppName 0,Access57,AccessDescription53,User0001
App0,AppName 0,Access58,AccessDescription54,User0001
App0,AppName 0,Access59,AccessDescription41,User0001
App0,AppName 0,Access60,AccessDescription55,User0001
App0,AppName 0,Access62,AccessDescription57,User0001
App0,AppName 0,Access63,AccessDescription58,User0001
App0,AppName 0,Access64,AccessDescription59,User0001
App0,AppName 0,Access65,AccessDescription60,User0001
App0,AppName 0,Access66,,User0001
App0,AppName 0,Access67,AccessDescription61,User0001
App0,AppName 0,Access68,AccessDescription62,User0001
App0,AppName 0,Access69,AccessDescription63,User0001
App0,AppName 0,Access71,AccessDescription64,User0001
App0,AppName 0,Access72,AccessDescription65,User0001
App0,AppName 0,Access81,,User0001
App0,AppName 0,Access88,,User0001
App0,AppName 0,Access98,AccessDescription80,User0001
App0,AppName 0,Access109,AccessDescription87,User0001
App0,AppName 0,Access110,AccessDescription26,User0001
App0,AppName 0,Access112,AccessDescription89,User0001
App0,AppName 0,Access129,,User0001
App0,AppName 0,Access148,AccessDescription116,User0001
App0,AppName 0,Access287,,User0001
App2,AppName 3,Access1070,,User0001
App3,AppName 4,Access1129,,User0001
App3,AppName 4,Access1130,,User0001
App3,AppName 5,Access1131,,User0001
App3,AppName 5,Access1132,,User0001
App3,AppName 5,Access1133,,User0001
App3,AppName 5,Access1134,,User0001
App3,AppName 5,Access1135,,User0001
App3,AppName 5,Access1136,,User0001
App3,AppName 5,Access1137,,User0001
App3,AppName 5,Access1138,,User0001
App3,AppName 5,Access1139,,User0001
App3,AppName 5,Access1140,,User0001
App3,AppName 5,Access1141,,User0001
App3,AppName 5,Access1142,,User0001
App3,AppName 5,Access1143,,User0001
App3,AppName 5,Access1144,,User0001
App3,AppName 5,Access1145,,User0001
App3,AppName 5,Access1146,,User0001
App3,AppName 5,Access1147,,User0001
App3,AppName 5,Access1148,,User0001
App3,AppName 5,Access1149,,User0001
App3,AppName 5,Access1150,,User0001
App3,AppName 5,Access1151,,User0001
App3,AppName 5,Access1152,,User0001
App3,AppName 5,Access1153,,User0001
App3,AppName 5,Access1154,,User0001
App7,AppName 9,Access1212,,User0001
App7,AppName 10,Access1213,,User0001
App9,AppName 11,Access1214,,User0001
App0,AppName 0,Access0,AccessDescription0,User0002
App0,AppName 0,Access1,AccessDescription1,User0002
App0,AppName 0,Access2,AccessDescription2,User0002
App0,AppName 0,Access3,,User0002
App0,AppName 0,Access4,AccessDescription4,User0002
App0,AppName 0,Access5,AccessDescription5,User0002
App0,AppName 0,Access6,AccessDescription6,User0002
App0,AppName 0,Access7,AccessDescription7,User0002
App0,AppName 0,Access8,AccessDescription8,User0002
App0,AppName 0,Access9,AccessDescription9,User0002
App0,AppName 0,Access10,AccessDescription10,User0002
App0,AppName 0,Access11,AccessDescription11,User0002
App0,AppName 0,Access12,AccessDescription12,User0002
App0,AppName 0,Access13,AccessDescription13,User0002
App0,AppName 0,Access14,AccessDescription14,User0002
App0,AppName 0,Access15,AccessDescription15,User0002
App0,AppName 0,Access16,AccessDescription16,User0002
App0,AppName 0,Access17,AccessDescription17,User0002
App0,AppName 0,Access18,AccessDescription18,User0002
App0,AppName 0,Access19,AccessDescription19,User0002
App0,AppName 0,Access20,AccessDescription20,User0002
App0,AppName 0,Access21,AccessDescription21,User0002
App0,AppName 0,Access22,AccessDescription22,User0002
App0,AppName 0,Access23,AccessDescription23,User0002
App0,AppName 0,Access24,AccessDescription24,User0002
App0,AppName 0,Access25,AccessDescription25,User0002
App0,AppName 0,Access26,AccessDescription26,User0002
App0,AppName 0,Access27,AccessDescription27,User0002
App0,AppName 0,Access28,AccessDescription28,User0002
App0,AppName 0,Access29,AccessDescription29,User0002
App0,AppName 0,Access30,AccessDescription30,User0002
App0,AppName 0,Access31,AccessDescription31,User0002
App0,AppName 0,Access32,AccessDescription32,User0002
App0,AppName 0,Access33,AccessDescription33,User0002
App0,AppName 0,Access34,AccessDescription34,User0002
App0,AppName 0,Access35,AccessDescription35,User0002
App0,AppName 0,Access36,AccessDescription36,User0002
App0,AppName 0,Access37,AccessDescription37,User0002
App0,AppName 0,Access38,AccessDescription38,User0002
App0,AppName 0,Access39,AccessDescription39,User0002
App0,AppName 0,Access40,AccessDescription40,User0002
App0,AppName 0,Access41,AccessDescription41,User0002
App0,AppName 0,Access42,AccessDescription42,User0002
App0,AppName 0,Access44,AccessDescription43,User0002
App0,AppName 0,Access45,AccessDescription44,User0002
App0,AppName 0,Access46,AccessDescription45,User0002
App0,AppName 0,Access47,AccessDescription46,User0002
App0,AppName 0,Access48,AccessDescription47,User0002
App0,AppName 0,Access49,AccessDescription48,User0002
App0,AppName 0,Access50,,User0002
App0,AppName 0,Access51,,User0002
App0,AppName 0,Access52,AccessDescription49,User0002
App0,AppName 0,Access53,,User0002
App0,AppName 0,Access54,AccessDescription50,User0002
App0,AppName 0,Access56,AccessDescription52,User0002
App0,AppName 0,Access61,AccessDescription56,User0002
App0,AppName 0,Access73,AccessDescription66,User0002
App0,AppName 0,Access74,AccessDescription67,User0002
App0,AppName 0,Access80,AccessDescription71,User0002
App0,AppName 0,Access86,,User0002
App0,AppName 0,Access167,AccessDescription128,User0002
App2,AppName 3,Access1050,,User0002
App3,AppName 4,Access1129,,User0002
App3,AppName 4,Access1130,,User0002
App3,AppName 5,Access1131,,User0002
App3,AppName 5,Access1132,,User0002
App3,AppName 5,Access1133,,User0002
App3,AppName 5,Access1134,,User0002
App3,AppName 5,Access1135,,User0002
App3,AppName 5,Access1136,,User0002
App3,AppName 5,Access1137,,User0002
App3,AppName 5,Access1138,,User0002
App3,AppName 5,Access1139,,User0002
App3,AppName 5,Access1140,,User0002
App3,AppName 5,Access1141,,User0002
App3,AppName 5,Access1142,,User0002
App3,AppName 5,Access1143,,User0002
App3,AppName 5,Access1144,,User0002
App3,AppName 5,Access1145,,User0002
App3,AppName 5,Access1146,,User0002
App3,AppName 5,Access1147,,User0002
App3,AppName 5,Access1148,,User0002
App3,AppName 5,Access1149,,User0002
App3,AppName 5,Access1150,,User0002
App3,AppName 5,Access1151,,User0002
App3,AppName 5,Access1152,,User0002
App3,AppName 5,Access1153,,User0002
App3,AppName 5,Access1154,,User0002
App9,AppName 11,Access1214,,User0002
AppManager,AppName Manager,ManagerAccess0,ManagerAccess,User0002
App0,AppName 0,Access0,AccessDescription0,User0003
App0,AppName 0,Access1,AccessDescription1,User0003
App0,AppName 0,Access2,AccessDescription2,User0003
App0,AppName 0,Access3,,User0003
App0,AppName 0,Access4,AccessDescription4,User0003
App0,AppName 0,Access5,AccessDescription5,User0003
App0,AppName 0,Access6,AccessDescription6,User0003
App0,AppName 0,Access7,AccessDescription7,User0003
App0,AppName 0,Access8,AccessDescription8,User0003
App0,AppName 0,Access9,AccessDescription9,User0003
App0,AppName 0,Access10,AccessDescription10,User0003
App0,AppName 0,Access11,AccessDescription11,User0003
App0,AppName 0,Access12,AccessDescription12,User0003
App0,AppName 0,Access13,AccessDescription13,User0003
App0,AppName 0,Access14,AccessDescription14,User0003
App0,AppName 0,Access15,AccessDescription15,User0003
App0,AppName 0,Access16,AccessDescription16,User0003
App0,AppName 0,Access17,AccessDescription17,User0003
App0,AppName 0,Access18,AccessDescription18,User0003
App0,AppName 0,Access19,AccessDescription19,User0003
App0,AppName 0,Access20,AccessDescription20,User0003
App0,AppName 0,Access21,AccessDescription21,User0003
App0,AppName 0,Access22,AccessDescription22,User0003
App0,AppName 0,Access23,AccessDescription23,User0003
App0,AppName 0,Access24,AccessDescription24,User0003
App0,AppName 0,Access25,AccessDescription25,User0003
App0,AppName 0,Access26,AccessDescription26,User0003
App0,AppName 0,Access27,AccessDescription27,User0003
App0,AppName 0,Access28,AccessDescription28,User0003
App0,AppName 0,Access29,AccessDescription29,User0003
App0,AppName 0,Access30,AccessDescription30,User0003
App0,AppName 0,Access31,AccessDescription31,User0003
App0,AppName 0,Access32,AccessDescription32,User0003
App0,AppName 0,Access33,AccessDescription33,User0003
App0,AppName 0,Access34,AccessDescription34,User0003
App0,AppName 0,Access35,AccessDescription35,User0003
App0,AppName 0,Access36,AccessDescription36,User0003
App0,AppName 0,Access37,AccessDescription37,User0003
App0,AppName 0,Access38,AccessDescription38,User0003
App0,AppName 0,Access39,AccessDescription39,User0003
App0,AppName 0,Access40,AccessDescription40,User0003
App0,AppName 0,Access42,AccessDescription42,User0003
App0,AppName 0,Access43,,User0003
App0,AppName 0,Access44,AccessDescription43,User0003
App0,AppName 0,Access45,AccessDescription44,User0003
App0,AppName 0,Access46,AccessDescription45,User0003
App0,AppName 0,Access47,AccessDescription46,User0003
App0,AppName 0,Access48,AccessDescription47,User0003
App0,AppName 0,Access49,AccessDescription48,User0003
App0,AppName 0,Access50,,User0003
App0,AppName 0,Access51,,User0003
App0,AppName 0,Access52,AccessDescription49,User0003
App0,AppName 0,Access54,AccessDescription50,User0003
App0,AppName 0,Access55,AccessDescription51,User0003
App0,AppName 0,Access56,AccessDescription52,User0003
App0,AppName 0,Access57,AccessDescription53,User0003
App0,AppName 0,Access58,AccessDescription54,User0003
App0,AppName 0,Access59,AccessDescription41,User0003
App0,AppName 0,Access60,AccessDescription55,User0003
App0,AppName 0,Access61,AccessDescription56,User0003
App0,AppName 0,Access62,AccessDescription57,User0003
App0,AppName 0,Access63,AccessDescription58,User0003
App0,AppName 0,Access64,AccessDescription59,User0003
App0,AppName 0,Access65,AccessDescription60,User0003
App0,AppName 0,Access66,,User0003
App0,AppName 0,Access67,AccessDescription61,User0003
App0,AppName 0,Access68,AccessDescription62,User0003
App0,AppName 0,Access69,AccessDescription63,User0003
App0,AppName 0,Access71,AccessDescription64,User0003
App0,AppName 0,Access75,,User0003
App0,AppName 0,Access84,AccessDescription73,User0003
App0,AppName 0,Access87,AccessDescription74,User0003
App0,AppName 0,Access90,AccessDescription75,User0003
App0,AppName 0,Access91,AccessDescription76,User0003
App0,AppName 0,Access92,AccessDescription77,User0003
App0,AppName 0,Access93,AccessDescription78,User0003
App0,AppName 0,Access95,AccessDescription79,User0003
App0,AppName 0,Access100,,User0003
App0,AppName 0,Access127,AccessDescription101,User0003
App0,AppName 0,Access153,AccessDescription120,User0003
App0,AppName 0,Access282,,User0003
App2,AppName 3,Access1058,,User0003
App3,AppName 4,Access1129,,User0003
App3,AppName 4,Access1130,,User0003
App3,AppName 5,Access1131,,User0003
App3,AppName 5,Access1132,,User0003
App3,AppName 5,Access1133,,User0003
App3,AppName 5,Access1134,,User0003
App3,AppName 5,Access1135,,User0003
App3,AppName 5,Access1136,,User0003
App3,AppName 5,Access1137,,User0003
App3,AppName 5,Access1138,,User0003
App3,AppName 5,Access1139,,User0003
App3,AppName 5,Access1140,,User0003
App3,AppName 5,Access1141,,User0003
App3,AppName 5,Access1142,,User0003
App3,AppName 5,Access1143,,User0003
App3,AppName 5,Access1144,,User0003
App3,AppName 5,Access1145,,User0003
App3,AppName 5,Access1146,,User0003
App3,AppName 5,Access1147,,User0003
App3,AppName 5,Access1148,,User0003
App3,AppName 5,Access1149,,User0003
App3,AppName 5,Access1150,,User0003
App3,AppName 5,Access1151,,User0003
App3,AppName 5,Access1152,,User0003
App3,AppName 5,Access1153,,User0003
App3,AppName 5,Access1154,,User0003
App7,AppName 9,Access1212,,User0003
App7,AppName 10,Access1213,,User0003
App9,AppName 11,Access1214,,User0003
App0,AppName 0,Access0,AccessDescription0,User0004
App0,AppName 0,Access1,AccessDescription1,User0004
App0,AppName 0,Access2,AccessDescription2,User0004
App0,AppName 0,Access3,,User0004
App0,AppName 0,Access4,AccessDescription4,User0004
App0,AppName 0,Access5,AccessDescription5,User0004
App0,AppName 0,Access6,AccessDescription6,User0004
App0,AppName 0,Access7,AccessDescription7,User0004
App0,AppName 0,Access8,AccessDescription8,User0004
App0,AppName 0,Access9,AccessDescription9,User0004
App0,AppName 0,Access10,AccessDescription10,User0004
App0,AppName 0,Access11,AccessDescription11,User0004
App0,AppName 0,Access12,AccessDescription12,User0004
App0,AppName 0,Access13,AccessDescription13,User0004
App0,AppName 0,Access14,AccessDescription14,User0004
App0,AppName 0,Access15,AccessDescription15,User0004
App0,AppName 0,Access16,AccessDescription16,User0004
App0,AppName 0,Access17,AccessDescription17,User0004
App0,AppName 0,Access18,AccessDescription18,User0004
App0,AppName 0,Access19,AccessDescription19,User0004
App0,AppName 0,Access20,AccessDescription20,User0004
App0,AppName 0,Access21,AccessDescription21,User0004
App0,AppName 0,Access22,AccessDescription22,User0004
App0,AppName 0,Access23,AccessDescription23,User0004
App0,AppName 0,Access24,AccessDescription24,User0004
App0,AppName 0,Access25,AccessDescription25,User0004
App0,AppName 0,Access26,AccessDescription26,User0004
App0,AppName 0,Access27,AccessDescription27,User0004
App0,AppName 0,Access28,AccessDescription28,User0004
App0,AppName 0,Access29,AccessDescription29,User0004
App0,AppName 0,Access30,AccessDescription30,User0004
App0,AppName 0,Access31,AccessDescription31,User0004
App0,AppName 0,Access32,AccessDescription32,User0004
App0,AppName 0,Access33,AccessDescription33,User0004
App0,AppName 0,Access34,AccessDescription34,User0004
App0,AppName 0,Access35,AccessDescription35,User0004
App0,AppName 0,Access36,AccessDescription36,User0004
App0,AppName 0,Access37,AccessDescription37,User0004
App0,AppName 0,Access38,AccessDescription38,User0004
App0,AppName 0,Access39,AccessDescription39,User0004
App0,AppName 0,Access40,AccessDescription40,User0004
App0,AppName 0,Access42,AccessDescription42,User0004
App0,AppName 0,Access43,,User0004
App0,AppName 0,Access44,AccessDescription43,User0004
App0,AppName 0,Access45,AccessDescription44,User0004
App0,AppName 0,Access46,AccessDescription45,User0004
App0,AppName 0,Access47,AccessDescription46,User0004
App0,AppName 0,Access48,AccessDescription47,User0004
App0,AppName 0,Access49,AccessDescription48,User0004
App0,AppName 0,Access50,,User0004
App0,AppName 0,Access51,,User0004
App0,AppName 0,Access52,AccessDescription49,User0004
App0,AppName 0,Access54,AccessDescription50,User0004
App0,AppName 0,Access57,AccessDescription53,User0004
App0,AppName 0,Access58,AccessDescription54,User0004
App0,AppName 0,Access59,AccessDescription41,User0004
App0,AppName 0,Access60,AccessDescription55,User0004
App0,AppName 0,Access62,AccessDescription57,User0004
App0,AppName 0,Access63,AccessDescription58,User0004
App0,AppName 0,Access64,AccessDescription59,User0004
App0,AppName 0,Access65,AccessDescription60,User0004
App0,AppName 0,Access66,,User0004
App0,AppName 0,Access67,AccessDescription61,User0004
App0,AppName 0,Access68,AccessDescription62,User0004
App0,AppName 0,Access69,AccessDescription63,User0004
App0,AppName 0,Access71,AccessDescription64,User0004
App0,AppName 0,Access76,AccessDescription68,User0004
App0,AppName 0,Access81,,User0004
App0,AppName 0,Access88,,User0004
App0,AppName 0,Access107,AccessDescription85,User0004
App0,AppName 0,Access129,,User0004
App0,AppName 0,Access131,AccessDescription103,User0004
App2,AppName 3,Access1059,,User0004
App2,AppName 3,Access1072,,User0004
App3,AppName 4,Access1129,,User0004
App3,AppName 4,Access1130,,User0004
App3,AppName 5,Access1131,,User0004
App3,AppName 5,Access1132,,User0004
App3,AppName 5,Access1133,,User0004
App3,AppName 5,Access1134,,User0004
App3,AppName 5,Access1135,,User0004
App3,AppName 5,Access1136,,User0004
App3,AppName 5,Access1137,,User0004
App3,AppName 5,Access1138,,User0004
App3,AppName 5,Access1139,,User0004
App3,AppName 5,Access1140,,User0004
App3,AppName 5,Access1141,,User0004
App3,AppName 5,Access1142,,User0004
App3,AppName 5,Access1143,,User0004
App3,AppName 5,Access1144,,User0004
App3,AppName 5,Access1145,,User0004
App3,AppName 5,Access1146,,User0004
App3,AppName 5,Access1147,,User0004
App3,AppName 5,Access1148,,User0004
App3,AppName 5,Access1149,,User0004
App3,AppName 5,Access1150,,User0004
App3,AppName 5,Access1151,,User0004
App3,AppName 5,Access1152,,User0004
App3,AppName 5,Access1153,,User0004
App3,AppName 5,Access1154,,User0004
App7,AppName 9,Access1212,,User0004
App7,AppName 10,Access1213,,User0004
App9,AppName 11,Access1214,,User0004
App0,AppName 0,Access0,AccessDescription0,User0005
App0,AppName 0,Access1,AccessDescription1,User0005
App0,AppName 0,Access2,AccessDescription2,User0005
App0,AppName 0,Access3,,User0005
App0,AppName 0,Access4,AccessDescription4,User0005
App0,AppName 0,Access5,AccessDescription5,User0005
App0,AppName 0,Access6,AccessDescription6,User0005
App0,AppName 0,Access7,AccessDescription7,User0005
App0,AppName 0,Access8,AccessDescription8,User0005
App0,AppName 0,Access9,AccessDescription9,User0005
App0,AppName 0,Access10,AccessDescription10,User0005
App0,AppName 0,Access11,AccessDescription11,User0005
App0,AppName 0,Access12,AccessDescription12,User0005
App0,AppName 0,Access13,AccessDescription13,User0005
App0,AppName 0,Access14,AccessDescription14,User0005
App0,AppName 0,Access15,AccessDescription15,User0005
App0,AppName 0,Access16,AccessDescription16,User0005
App0,AppName 0,Access17,AccessDescription17,User0005
App0,AppName 0,Access18,AccessDescription18,User0005
App0,AppName 0,Access19,AccessDescription19,User0005
App0,AppName 0,Access20,AccessDescription20,User0005
App0,AppName 0,Access21,AccessDescription21,User0005
App0,AppName 0,Access22,AccessDescription22,User0005
App0,AppName 0,Access23,AccessDescription23,User0005
App0,AppName 0,Access24,AccessDescription24,User0005
App0,AppName 0,Access25,AccessDescription25,User0005
App0,AppName 0,Access27,AccessDescription27,User0005
App0,AppName 0,Access28,AccessDescription28,User0005
App0,AppName 0,Access29,AccessDescription29,User0005
App0,AppName 0,Access30,AccessDescription30,User0005
App0,AppName 0,Access31,AccessDescription31,User0005
App0,AppName 0,Access32,AccessDescription32,User0005
App0,AppName 0,Access33,AccessDescription33,User0005
App0,AppName 0,Access34,AccessDescription34,User0005
App0,AppName 0,Access35,AccessDescription35,User0005
App0,AppName 0,Access36,AccessDescription36,User0005
App0,AppName 0,Access37,AccessDescription37,User0005
App0,AppName 0,Access38,AccessDescription38,User0005
App0,AppName 0,Access39,AccessDescription39,User0005
App0,AppName 0,Access40,AccessDescription40,User0005
App0,AppName 0,Access42,AccessDescription42,User0005
App0,AppName 0,Access43,,User0005
App0,AppName 0,Access44,AccessDescription43,User0005
App0,AppName 0,Access45,AccessDescription44,User0005
App0,AppName 0,Access46,AccessDescription45,User0005
App0,AppName 0,Access47,AccessDescription46,User0005
App0,AppName 0,Access48,AccessDescription47,User0005
App0,AppName 0,Access49,AccessDescription48,User0005
App0,AppName 0,Access52,AccessDescription49,User0005
App0,AppName 0,Access54,AccessDescription50,User0005
App0,AppName 0,Access55,AccessDescription51,User0005
App0,AppName 0,Access57,AccessDescription53,User0005
App0,AppName 0,Access58,AccessDescription54,User0005
App0,AppName 0,Access59,AccessDescription41,User0005
App0,AppName 0,Access60,AccessDescription55,User0005
App0,AppName 0,Access62,AccessDescription57,User0005
App0,AppName 0,Access63,AccessDescription58,User0005
App0,AppName 0,Access64,AccessDescription59,User0005
App0,AppName 0,Access65,AccessDescription60,User0005
App0,AppName 0,Access66,,User0005
App0,AppName 0,Access67,AccessDescription61,User0005
App0,AppName 0,Access68,AccessDescription62,User0005
App0,AppName 0,Access69,AccessDescription63,User0005
App0,AppName 0,Access71,AccessDescription64,User0005
App0,AppName 0,Access75,,User0005
App0,AppName 0,Access82,,User0005
App0,AppName 0,Access88,,User0005
App0,AppName 0,Access98,AccessDescription80,User0005
App0,AppName 0,Access99,AccessDescription26,User0005
App0,AppName 0,Access129,,User0005
App0,AppName 0,Access130,AccessDescription102,User0005
App0,AppName 0,Access152,AccessDescription119,User0005
App0,AppName 0,Access168,AccessDescription129,User0005
App2,AppName 3,Access1068,,User0005
App3,AppName 4,Access1129,,User0005
App3,AppName 4,Access1130,,User0005
App3,AppName 5,Access1131,,User0005
App3,AppName 5,Access1132,,User0005
App3,AppName 5,Access1133,,User0005
App3,AppName 5,Access1134,,User0005
App3,AppName 5,Access1135,,User0005
App3,AppName 5,Access1136,,User0005
App3,AppName 5,Access1137,,User0005
App3,AppName 5,Access1138,,User0005
App3,AppName 5,Access1139,,User0005
App3,AppName 5,Access1140,,User0005
App3,AppName 5,Access1141,,User0005
App3,AppName 5,Access1142,,User0005
App3,AppName 5,Access1143,,User0005
App3,AppName 5,Access1144,,User0005
App3,AppName 5,Access1145,,User0005
App3,AppName 5,Access1146,,User0005
App3,AppName 5,Access1147,,User0005
App3,AppName 5,Access1148,,User0005
App3,AppName 5,Access1149,,User0005
App3,AppName 5,Access1150,,User0005
App3,AppName 5,Access1151,,User0005
App3,AppName 5,Access1152,,User0005
App3,AppName 5,Access1153,,User0005
App3,AppName 5,Access1154,,User0005
App7,AppName 9,Access1212,,User0005
App7,AppName 10,Access1213,,User0005
App9,AppName 11,Access1214,,User0005
App0,AppName 0,Access0,AccessDescription0,User0006
App0,AppName 0,Access1,AccessDescription1,User0006
App0,AppName 0,Access2,AccessDescription2,User0006
App0,AppName 0,Access3,,User0006
App0,AppName 0,Access4,AccessDescription4,User0006
App0,AppName 0,Access5,AccessDescription5,User0006
App0,AppName 0,Access6,AccessDescription6,User0006
App0,AppName 0,Access7,AccessDescription7,User0006
App0,AppName 0,Access8,AccessDescription8,User0006
App0,AppName 0,Access9,AccessDescription9,User0006
App0,AppName 0,Access10,AccessDescription10,User0006
App0,AppName 0,Access11,AccessDescription11,User0006
App0,AppName 0,Access12,AccessDescription12,User0006
App0,AppName 0,Access13,AccessDescription13,User0006
App0,AppName 0,Access14,AccessDescription14,User0006
App0,AppName 0,Access15,AccessDescription15,User0006
App0,AppName 0,Access16,AccessDescription16,User0006
App0,AppName 0,Access17,AccessDescription17,User0006
App0,AppName 0,Access18,AccessDescription18,User0006
App0,AppName 0,Access19,AccessDescription19,User0006
App0,AppName 0,Access20,AccessDescription20,User0006
App0,AppName 0,Access21,AccessDescription21,User0006
App0,AppName 0,Access22,AccessDescription22,User0006
App0,AppName 0,Access23,AccessDescription23,User0006
App0,AppName 0,Access24,AccessDescription24,User0006
App0,AppName 0,Access25,AccessDescription25,User0006
App0,AppName 0,Access27,AccessDescription27,User0006
App0,AppName 0,Access28,AccessDescription28,User0006
App0,AppName 0,Access29,AccessDescription29,User0006
App0,AppName 0,Access30,AccessDescription30,User0006
App0,AppName 0,Access31,AccessDescription31,User0006
App0,AppName 0,Access32,AccessDescription32,User0006
App0,AppName 0,Access33,AccessDescription33,User0006
App0,AppName 0,Access34,AccessDescription34,User0006
App0,AppName 0,Access35,AccessDescription35,User0006
App0,AppName 0,Access36,AccessDescription36,User0006
App0,AppName 0,Access37,AccessDescription37,User0006
App0,AppName 0,Access38,AccessDescription38,User0006
App0,AppName 0,Access39,AccessDescription39,User0006
App0,AppName 0,Access40,AccessDescription40,User0006
App0,AppName 0,Access41,AccessDescription41,User0006
App0,AppName 0,Access42,AccessDescription42,User0006
