Department,Department ID,Display Name,Functional Division,Functional Division ID,Group Division,Group Division ID,Job Code,Job Profile,Management Level,Manager,Position Description Long,Position Number,Username,Role division
Department0,DepartmentID0,Alex647,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager7,PositionDescription19,PositionNumber647,User0048,RoleDivision1
Department1,DepartmentID1,Alex304,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription1,PositionNumber304,User0049,RoleDivision2
Department1,DepartmentID1,Alex1041,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription1,PositionNumber1041,User0050,RoleDivision2
Department1,DepartmentID1,Alex850,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription5,PositionNumber850,User0051,RoleDivision2
Department0,DepartmentID0,Alex768,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription4,PositionNumber768,User0052,RoleDivision0
Department1,DepartmentID1,Alex577,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber577,User0053,RoleDivision2
Department7,DepartmentID7,Alex386,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID13,JobDescription13,SeniorLevel0,Manager8,PositionDescription23,PositionNumber386,User0054,RoleDivision0
Department1,DepartmentID1,Alex967,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription1,PositionNumber967,User0055,RoleDivision2
Department0,DepartmentID0,Alex696,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager8,PositionDescription11,PositionNumber696,User0056,RoleDivision0
Department1,DepartmentID1,Alex554,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber554,User0057,RoleDivision2
Department1,DepartmentID1,Alex428,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber428,User0058,RoleDivision2
Department0,DepartmentID0,Alex874,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager7,PositionDescription10,PositionNumber874,User0059,RoleDivision0
Department0,DepartmentID0,Alex109,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager0,PositionDescription1,PositionNumber109,User0060,RoleDivision1
Department4,DepartmentID4,Alex497,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager3,PositionDescription6,PositionNumber497,User0061,RoleDivision4
Department4,DepartmentID4,Alex458,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager4,PositionDescription6,PositionNumber458,User0062,RoleDivision4
Department0,DepartmentID0,Alex825,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager8,PositionDescription16,PositionNumber825,User0063,RoleDivision1
Department4,DepartmentID4,Alex912,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager4,PositionDescription6,PositionNumber912,User0064,RoleDivision4
Department1,DepartmentID1,Alex766,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription5,PositionNumber766,User0065,RoleDivision2
Department1,DepartmentID1,Alex1162,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber1162,User0066,RoleDivision2
Department1,DepartmentID1,Alex767,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager9,PositionDescription6,PositionNumber767,User0067,RoleDivision4
Department1,DepartmentID1,Alex791,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription5,PositionNumber791,User0068,RoleDivision2
Department1,DepartmentID1,Alex49,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription1,PositionNumber49,User0069,RoleDivision2
Department8,DepartmentID8,Alex601,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription5,PositionNumber601,User0070,RoleDivision2
Department0,DepartmentID0,Alex14,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager7,PositionDescription4,PositionNumber14,User0071,RoleDivision0
Department3,DepartmentID3,Alex712,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID4,JobDescription4,SeniorLevel2,Manager3,PositionDescription3,PositionNumber712,User0072,RoleDivision4
Department0,DepartmentID0,Alex921,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager12,PositionDescription16,PositionNumber921,User0073,RoleDivision1
Department1,DepartmentID1,Alex460,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber460,User0074,RoleDivision2
Department1,DepartmentID1,Alex558,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber558,User0075,RoleDivision2
Department1,DepartmentID1,Alex941,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID4,JobDescription4,SeniorLevel2,Manager9,PositionDescription3,PositionNumber941,User0076,RoleDivision4
Department0,DepartmentID0,Alex821,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID0,JobDescription0,SeniorLevel0,Manager0,PositionDescription0,PositionNumber821,User0077,RoleDivision0
Department0,DepartmentID0,Alex786,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager13,PositionDescription19,PositionNumber786,User0078,RoleDivision1
Department0,DepartmentID0,Alex811,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager12,PositionDescription10,PositionNumber811,User0079,RoleDivision0
Department1,DepartmentID1,Alex387,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber387,User0080,RoleDivision2
Department0,DepartmentID0,Alex838,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription10,PositionNumber838,User0081,RoleDivision0
Department1,DepartmentID1,Alex105,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription5,PositionNumber105,User0082,RoleDivision2
Department4,DepartmentID4,Alex507,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager3,PositionDescription6,PositionNumber507,User0083,RoleDivision4
Department7,DepartmentID7,Alex1123,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID11,JobDescription11,SeniorLevel0,Manager8,PositionDescription27,PositionNumber1123,User0084,RoleDivision1
Department1,DepartmentID1,Alex864,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription1,PositionNumber864,User0085,RoleDivision2
Department0,DepartmentID0,Alex20,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager1,PositionDescription9,PositionNumber20,User0086,RoleDivision0
Department0,DepartmentID0,Alex770,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription4,PositionNumber770,User0087,RoleDivision0
Department8,DepartmentID8,Alex393,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription5,PositionNumber393,User0088,RoleDivision2
Department1,DepartmentID1,Alex268,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription1,PositionNumber268,User0089,RoleDivision2
Department1,DepartmentID1,Alex949,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription5,PositionNumber949,User0090,RoleDivision2
Department1,DepartmentID1,Alex690,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager3,PositionDescription5,PositionNumber690,User0091,RoleDivision2
Department0,DepartmentID0,Alex62,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID1,JobDescription1,SeniorLevel0,Manager1,PositionDescription1,PositionNumber62,User0092,RoleDivision1
Department0,DepartmentID0,Alex898,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager8,PositionDescription18,PositionNumber898,User0093,RoleDivision1
Department1,DepartmentID1,Alex621,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber621,User0094,RoleDivision2
Department7,DepartmentID7,Alex1075,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID11,JobDescription11,SeniorLevel0,Manager0,PositionDescription31,PositionNumber1075,User0095,RoleDivision1
Department0,DepartmentID0,Alex721,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager8,PositionDescription4,PositionNumber721,User0096,RoleDivision0
Department0,DepartmentID0,Alex1160,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager8,PositionDescription18,PositionNumber1160,User0097,RoleDivision1
Department1,DepartmentID1,Alex152,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription1,PositionNumber152,User0098,RoleDivision2
Department0,DepartmentID0,Alex1138,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager7,PositionDescription10,PositionNumber1138,User0099,RoleDivision0
Department0,DepartmentID0,Alex146,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager12,PositionDescription1,PositionNumber146,User0100,RoleDivision1
Department4,DepartmentID4,Alex541,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager10,PositionDescription6,PositionNumber541,User0101,RoleDivision4
Department0,DepartmentID0,Alex763,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager7,PositionDescription16,PositionNumber763,User0102,RoleDivision1
Department1,DepartmentID1,Alex32,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber32,User0103,RoleDivision2
Department1,DepartmentID1,Alex765,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription5,PositionNumber765,User0104,RoleDivision2
Department3,DepartmentID3,Alex686,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID4,JobDescription4,SeniorLevel2,Manager10,PositionDescription3,PositionNumber686,User0105,RoleDivision4
Department0,DepartmentID0,Alex1044,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager1,PositionDescription18,PositionNumber1044,User0106,RoleDivision1
Department1,DepartmentID1,Alex889,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription5,PositionNumber889,User0107,RoleDivision2
Department1,DepartmentID1,Alex299,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager2,PositionDescription1,PositionNumber299,User0108,RoleDivision2
Department1,DepartmentID1,Alex615,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber615,User0109,RoleDivision2
Department0,DepartmentID0,Alex348,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager13,PositionDescription18,PositionNumber348,User0110,RoleDivision1
Department1,DepartmentID1,Alex1091,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription1,PositionNumber1091,User0111,RoleDivision2
Department0,DepartmentID0,Alex802,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID0,JobDescription0,SeniorLevel0,Manager13,PositionDescription15,PositionNumber802,User0112,RoleDivision0
Department0,DepartmentID0,Alex780,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription10,PositionNumber780,User0113,RoleDivision0
Department0,DepartmentID0,Alex347,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager7,PositionDescription18,PositionNumber347,User0114,RoleDivision1
Department0,DepartmentID0,Alex847,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager8,PositionDescription10,PositionNumber847,User0115,RoleDivision0
Department0,DepartmentID0,Alex929,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager7,PositionDescription18,PositionNumber929,User0116,RoleDivision1
Department1,DepartmentID1,Alex970,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber970,User0117,RoleDivision2
Department0,DepartmentID0,Alex162,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID5,JobDescription5,SeniorLevel1,Manager0,PositionDescription10,PositionNumber162,User0118,RoleDivision0
Department1,DepartmentID1,Alex506,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager10,PositionDescription5,PositionNumber506,User0119,RoleDivision2
Department4,DepartmentID4,Alex546,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID6,JobDescription6,SeniorLevel1,Manager10,PositionDescription6,PositionNumber546,User0120,RoleDivision4
Department0,DepartmentID0,Alex1014,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID9,JobDescription9,SeniorLevel0,Manager13,PositionDescription16,PositionNumber1014,User0121,RoleDivision1
Department7,DepartmentID7,Alex1212,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID11,JobDescription11,SeniorLevel0,Manager1,PositionDescription17,PositionNumber1212,User0122,RoleDivision1
Department1,DepartmentID1,Alex553,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager4,PositionDescription5,PositionNumber553,User0123,RoleDivision2
Department1,DepartmentID1,Alex1167,FunctionalGroup0,FunctionalGroupID0,GroupDivision0,GroupDivisionID0,JobID2,JobDescription2,SeniorLevel0,Manager9,PositionDescription1,PositionNumber1167,User0124,RoleDivision2
