Department,Department ID,Display Name,Function,Function ID,Group,Group ID,Job,Job Profile,Management Level,Manager,Position,Position ID,Username,Role
Department1,DepartmentID1,Alex735,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager9,Position6,PositionID735,User0011,Role4
Department1,DepartmentID1,Alex788,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID788,User0012,Role2
Department1,DepartmentID1,Alex945,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID945,User0013,Role2
Department0,DepartmentID0,Alex911,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager12,Position10,PositionID911,User0014,Role0
Department1,DepartmentID1,Alex160,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID160,User0015,Role2
Department1,DepartmentID1,Alex1206,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID1206,User0016,Role2
Department0,DepartmentID0,Alex939,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel1,Manager12,Position0,PositionID1121,User0017,Role0
Department0,DepartmentID0,Alex147,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager12,Position1,PositionID147,User0018,Role1
Department0,DepartmentID0,Alex1198,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position10,PositionID1198,User0019,Role0
Department0,DepartmentID0,Alex346,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager7,Position18,PositionID346,User0020,Role1
Department1,DepartmentID1,Alex43,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID43,User0021,Role2
Department1,DepartmentID1,Alex704,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID704,User0022,Role2
Department1,DepartmentID1,Alex182,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID182,User0023,Role2
Department1,DepartmentID1,Alex792,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID792,User0024,Role2
Department1,DepartmentID1,Alex637,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID637,User0025,Role2
Department7,DepartmentID7,Alex533,Function0,FunctionID0,Group0,GroupID0,JobID13,JobDescription13,SeniorLevel0,Manager1,Position23,PositionID533,User0026,Role0
Department3,DepartmentID3,Alex559,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager4,Position3,PositionID559,User0027,Role4
Department0,DepartmentID0,Alex960,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager7,Position16,PositionID960,User0028,Role1
Left,Left,Alex551,Left,Left,Left,Left,Left,Left,Left,Left,Left,Left,User0029,Left
Department0,DepartmentID0,Alex61,Function0,FunctionID0,Group0,GroupID0,JobID1,JobDescription1,SeniorLevel0,Manager1,Position1,PositionID61,User0030,Role1
Department0,DepartmentID0,Alex1039,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position18,PositionID1039,User0031,Role1
Department1,DepartmentID1,Alex1031,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID1031,User0032,Role2
Department1,DepartmentID1,Alex217,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position1,PositionID217,User0033,Role2
Department0,DepartmentID0,Alex961,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position13,PositionID961,User0034,Role1
Department1,DepartmentID1,Alex540,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position5,PositionID540,User0035,Role2
Department3,DepartmentID3,Alex500,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager3,Position3,PositionID500,User0036,Role4
Department1,DepartmentID1,Alex1236,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position5,PositionID1236,User0037,Role2
Department1,DepartmentID1,Alex581,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID581,User0038,Role2
Department3,DepartmentID3,Alex496,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager3,Position3,PositionID496,User0039,Role4
Department0,DepartmentID0,Alex17,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position4,PositionID17,User0040,Role0
Department0,DepartmentID0,Alex922,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position29,PositionID922,User0041,Role0
Department1,DepartmentID1,Alex801,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID801,User0042,Role2
Department0,DepartmentID0,Alex77,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel0,Manager8,Position15,PositionID77,User0043,Role0
Department0,DepartmentID0,Alex29,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position4,PositionID29,User0044,Role0
Department0,DepartmentID0,Alex34,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager7,Position10,PositionID34,User0045,Role0
Department0,DepartmentID0,Alex53,Function0,FunctionID0,Group0,GroupID0,JobID1,JobDescription1,SeniorLevel0,Manager7,Position1,PositionID53,User0046,Role1
Department1,DepartmentID1,Alex130,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position5,PositionID130,User0047,Role2
Department0,DepartmentID0,Alex647,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager7,Position19,PositionID647,User0048,Role1
Department1,DepartmentID1,Alex304,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID304,User0049,Role2
Department1,DepartmentID1,Alex1041,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID1041,User0050,Role2
Department1,DepartmentID1,Alex850,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID850,User0051,Role2
Department0,DepartmentID0,Alex768,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position4,PositionID768,User0052,Role0
Department1,DepartmentID1,Alex577,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID577,User0053,Role2
Department7,DepartmentID7,Alex386,Function0,FunctionID0,Group0,GroupID0,JobID13,JobDescription13,SeniorLevel0,Manager8,Position23,PositionID386,User0054,Role0
Department1,DepartmentID1,Alex967,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position1,PositionID967,User0055,Role2
Department0,DepartmentID0,Alex696,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager8,Position11,PositionID696,User0056,Role0
Department1,DepartmentID1,Alex554,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID554,User0057,Role2
Department1,DepartmentID1,Alex428,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID428,User0058,Role2
Department0,DepartmentID0,Alex874,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager7,Position10,PositionID874,User0059,Role0
Department0,DepartmentID0,Alex109,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position1,PositionID109,User0060,Role1
Department4,DepartmentID4,Alex497,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager3,Position6,PositionID497,User0061,Role4
Department4,DepartmentID4,Alex458,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager4,Position6,PositionID458,User0062,Role4
Department0,DepartmentID0,Alex825,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager8,Position16,PositionID825,User0063,Role1
Department4,DepartmentID4,Alex912,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager4,Position6,PositionID912,User0064,Role4
Department1,DepartmentID1,Alex766,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID766,User0065,Role2
Department1,DepartmentID1,Alex1162,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID1162,User0066,Role2
Department1,DepartmentID1,Alex767,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager9,Position6,PositionID767,User0067,Role4
Department1,DepartmentID1,Alex791,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position5,PositionID791,User0068,Role2
Department1,DepartmentID1,Alex49,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position1,PositionID49,User0069,Role2
Department8,DepartmentID8,Alex601,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position5,PositionID601,User0070,Role2
Department0,DepartmentID0,Alex14,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager7,Position4,PositionID14,User0071,Role0
Department3,DepartmentID3,Alex712,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager3,Position3,PositionID712,User0072,Role4
Department0,DepartmentID0,Alex921,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager12,Position16,PositionID921,User0073,Role1
Department1,DepartmentID1,Alex460,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID460,User0074,Role2
Department1,DepartmentID1,Alex558,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID558,User0075,Role2
Department1,DepartmentID1,Alex941,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager9,Position3,PositionID941,User0076,Role4
Department0,DepartmentID0,Alex821,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel0,Manager0,Position0,PositionID821,User0077,Role0
Department0,DepartmentID0,Alex786,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager13,Position19,PositionID786,User0078,Role1
Department0,DepartmentID0,Alex811,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager12,Position10,PositionID811,User0079,Role0
Department1,DepartmentID1,Alex387,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID387,User0080,Role2
Department0,DepartmentID0,Alex838,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position10,PositionID838,User0081,Role0
Department1,DepartmentID1,Alex105,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID105,User0082,Role2
Department4,DepartmentID4,Alex507,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager3,Position6,PositionID507,User0083,Role4
Department7,DepartmentID7,Alex1123,Function0,FunctionID0,Group0,GroupID0,JobID11,JobDescription11,SeniorLevel0,Manager8,Position27,PositionID1123,User0084,Role1
Department1,DepartmentID1,Alex864,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID864,User0085,Role2
Department0,DepartmentID0,Alex20,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager1,Position9,PositionID20,User0086,Role0
Department0,DepartmentID0,Alex770,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position4,PositionID770,User0087,Role0
Department8,DepartmentID8,Alex393,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position5,PositionID393,User0088,Role2
Department1,DepartmentID1,Alex268,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position1,PositionID268,User0089,Role2
Department1,DepartmentID1,Alex949,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position5,PositionID949,User0090,Role2
Department1,DepartmentID1,Alex690,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position5,PositionID690,User0091,Role2
Department0,DepartmentID0,Alex62,Function0,FunctionID0,Group0,GroupID0,JobID1,JobDescription1,SeniorLevel0,Manager1,Position1,PositionID62,User0092,Role1
Department0,DepartmentID0,Alex898,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager8,Position18,PositionID898,User0093,Role1
Department1,DepartmentID1,Alex621,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID621,User0094,Role2
Department7,DepartmentID7,Alex1075,Function0,FunctionID0,Group0,GroupID0,JobID11,JobDescription11,SeniorLevel0,Manager0,Position31,PositionID1075,User0095,Role1
Department0,DepartmentID0,Alex721,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager8,Position4,PositionID721,User0096,Role0
Department0,DepartmentID0,Alex1160,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager8,Position18,PositionID1160,User0097,Role1
Department1,DepartmentID1,Alex152,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID152,User0098,Role2
Department0,DepartmentID0,Alex1138,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager7,Position10,PositionID1138,User0099,Role0
Department0,DepartmentID0,Alex146,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager12,Position1,PositionID146,User0100,Role1
Department4,DepartmentID4,Alex541,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager10,Position6,PositionID541,User0101,Role4
Department0,DepartmentID0,Alex763,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager7,Position16,PositionID763,User0102,Role1
Department1,DepartmentID1,Alex32,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID32,User0103,Role2
Department1,DepartmentID1,Alex765,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID765,User0104,Role2
Department3,DepartmentID3,Alex686,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager10,Position3,PositionID686,User0105,Role4
Department0,DepartmentID0,Alex1044,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager1,Position18,PositionID1044,User0106,Role1
Department1,DepartmentID1,Alex889,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position5,PositionID889,User0107,Role2
Department1,DepartmentID1,Alex299,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID299,User0108,Role2
Department1,DepartmentID1,Alex615,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID615,User0109,Role2
Department0,DepartmentID0,Alex348,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager13,Position18,PositionID348,User0110,Role1
Department1,DepartmentID1,Alex1091,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position1,PositionID1091,User0111,Role2
Department0,DepartmentID0,Alex802,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel0,Manager13,Position15,PositionID802,User0112,Role0
Department0,DepartmentID0,Alex780,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position10,PositionID780,User0113,Role0
Department0,DepartmentID0,Alex347,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager7,Position18,PositionID347,User0114,Role1
Department0,DepartmentID0,Alex847,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager8,Position10,PositionID847,User0115,Role0
Department0,DepartmentID0,Alex929,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager7,Position18,PositionID929,User0116,Role1
Department1,DepartmentID1,Alex970,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID970,User0117,Role2
Department0,DepartmentID0,Alex162,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager0,Position10,PositionID162,User0118,Role0
Department1,DepartmentID1,Alex506,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID506,User0119,Role2
Department4,DepartmentID4,Alex546,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager10,Position6,PositionID546,User0120,Role4
Department0,DepartmentID0,Alex1014,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager13,Position16,PositionID1014,User0121,Role1
Department7,DepartmentID7,Alex1212,Function0,FunctionID0,Group0,GroupID0,JobID11,JobDescription11,SeniorLevel0,Manager1,Position17,PositionID1212,User0122,Role1
Department1,DepartmentID1,Alex553,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID553,User0123,Role2
Department1,DepartmentID1,Alex1167,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position1,PositionID1167,User0124,Role2
Department1,DepartmentID1,Alex489,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID489,User0125,Role2
Department7,DepartmentID7,Alex382,Function0,FunctionID0,Group0,GroupID0,JobID13,JobDescription13,SeniorLevel0,Manager0,Position22,PositionID382,User0126,Role0
Department0,DepartmentID0,Alex366,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager13,Position18,PositionID366,User0127,Role1
Department1,DepartmentID1,Alex132,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID132,User0128,Role2
Department1,DepartmentID1,Alex39,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager4,Position3,PositionID39,User0129,Role4
Department1,DepartmentID1,Alex1012,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position1,PositionID1012,User0130,Role2
Department3,DepartmentID3,Alex1132,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager2,Position3,PositionID1132,User0131,Role4
Department1,DepartmentID1,Alex199,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position1,PositionID199,User0132,Role2
Department1,DepartmentID1,Alex430,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position5,PositionID430,User0133,Role2
Department1,DepartmentID1,Alex796,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position5,PositionID796,User0134,Role2
Department0,DepartmentID0,Alex1052,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager12,Position10,PositionID1052,User0135,Role0
Department4,DepartmentID4,Alex954,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager2,Position6,PositionID954,User0137,Role4
Department1,DepartmentID1,Alex52,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position5,PositionID52,User0138,Role2
Department1,DepartmentID1,Alex216,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position1,PositionID216,User0139,Role2
Department1,DepartmentID1,Alex812,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID812,User0140,Role2
Department1,DepartmentID1,Alex1153,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID1153,User0141,Role2
Department3,DepartmentID3,Alex759,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID759,User0142,Role2
Department0,DepartmentID0,Alex263,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position18,PositionID263,User0143,Role1
Department1,DepartmentID1,Alex127,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager4,Position5,PositionID127,User0144,Role2
Department1,DepartmentID1,Alex855,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID855,User0145,Role2
Department4,DepartmentID4,Alex578,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager3,Position6,PositionID578,User0146,Role4
Department1,DepartmentID1,Alex204,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager3,Position5,PositionID204,User0147,Role2
Department0,DepartmentID0,Alex333,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position18,PositionID333,User0148,Role1
Department0,DepartmentID0,Alex355,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager0,Position18,PositionID355,User0149,Role1
Department1,DepartmentID1,Alex142,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID142,User0150,Role2
Department0,DepartmentID0,Alex856,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager13,Position4,PositionID856,User0151,Role0
Department1,DepartmentID1,Alex706,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID706,User0152,Role2
Department1,DepartmentID1,Alex936,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager9,Position28,PositionID936,User0153,Role4
Department1,DepartmentID1,Alex717,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID717,User0154,Role2
Department1,DepartmentID1,Alex452,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager2,Position1,PositionID452,User0155,Role2
Department4,DepartmentID4,Alex400,Function0,FunctionID0,Group0,GroupID0,JobID6,JobDescription6,SeniorLevel1,Manager3,Position6,PositionID400,User0156,Role4
Department0,DepartmentID0,Alex1215,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager8,Position16,PositionID1215,User0157,Role1
Department1,DepartmentID1,Alex959,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager10,Position1,PositionID959,User0158,Role2
Department3,DepartmentID3,Alex436,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager3,Position3,PositionID436,User0159,Role4
Department3,DepartmentID3,Alex409,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager10,Position3,PositionID409,User0160,Role4
Department0,DepartmentID0,Alex86,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager1,Position1,PositionID86,User0161,Role1
Department1,DepartmentID1,Alex443,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID443,User0162,Role2
Department0,DepartmentID0,Alex59,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager1,Position10,PositionID59,User0163,Role0
Department1,DepartmentID1,Alex56,Function0,FunctionID0,Group0,GroupID0,JobID4,JobDescription4,SeniorLevel2,Manager3,Position3,PositionID56,User0164,Role4
Department1,DepartmentID1,Alex851,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID851,User0165,Role2
Department0,DepartmentID0,Alex928,Function0,FunctionID0,Group0,GroupID0,JobID0,JobDescription0,SeniorLevel0,Manager0,Position0,PositionID928,User0166,Role0
Department0,DepartmentID0,Alex100,Function0,FunctionID0,Group0,GroupID0,JobID5,JobDescription5,SeniorLevel1,Manager12,Position10,PositionID100,User0167,Role0
Department1,DepartmentID1,Alex433,Function0,FunctionID0,Group0,GroupID0,JobID2,JobDescription2,SeniorLevel0,Manager9,Position5,PositionID433,User0168,Role2
Department0,DepartmentID0,Alex839,Function0,FunctionID0,Group0,GroupID0,JobID9,JobDescription9,SeniorLevel0,Manager12,Position16,PositionID839,User0169,Role1
